GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Opencast :: transcription-service-google-speech-impl/opencast-kernel,org.opencastproject.kernel.bundleinfo,OsgiBundleInfoRestEndpoint,10,0,0,0,4,0,3,0,3,0
Opencast :: transcription-service-google-speech-impl/opencast-kernel,org.opencastproject.kernel.bundleinfo,BundleInfos,7,0,0,0,1,0,1,0,1,0
Opencast :: transcription-service-google-speech-impl/opencast-kernel,org.opencastproject.kernel.bundleinfo,BundleInfoRestEndpoint,36,251,5,12,10,41,5,19,2,13
Opencast :: transcription-service-google-speech-impl/opencast-kernel,org.opencastproject.kernel.bundleinfo,OsgiBundleInfoDb,33,0,0,0,12,0,7,0,7,0
Opencast :: transcription-service-google-speech-impl/opencast-transcription-service-api,org.opencastproject.transcription.api,TranscriptionServiceException,29,21,0,0,9,7,4,3,4,3
Opencast :: transcription-service-google-speech-impl/opencast-transcription-service-persistence,org.opencastproject.transcription.persistence,TranscriptionDatabaseImpl,123,128,4,2,37,35,6,13,3,13
Opencast :: transcription-service-google-speech-impl/opencast-transcription-service-persistence,org.opencastproject.transcription.persistence,TranscriptionJobControl.Status,0,39,0,0,0,2,0,1,0,1
Opencast :: transcription-service-google-speech-impl/opencast-transcription-service-persistence,org.opencastproject.transcription.persistence,TranscriptionProviderControlDto,54,3,0,0,12,2,6,1,6,1
Opencast :: transcription-service-google-speech-impl/opencast-transcription-service-persistence,org.opencastproject.transcription.persistence,TranscriptionDatabaseException,8,0,0,0,4,0,2,0,2,0
Opencast :: transcription-service-google-speech-impl/opencast-transcription-service-persistence,org.opencastproject.transcription.persistence,TranscriptionJobControl,39,54,0,0,19,19,10,9,10,9
Opencast :: transcription-service-google-speech-impl/opencast-transcription-service-persistence,org.opencastproject.transcription.persistence,TranscriptionJobControlDto,5,216,1,3,1,46,1,16,0,15
Opencast :: transcription-service-google-speech-impl/opencast-transcription-service-persistence,org.opencastproject.transcription.persistence,TranscriptionProviderControl,11,12,0,0,5,5,3,2,3,2
Opencast :: transcription-service-google-speech-impl/opencast-workflow-service-api,org.opencastproject.workflow.api,WorkflowOperationResult.Action,21,0,0,0,2,0,1,0,1,0
Opencast :: transcription-service-google-speech-impl/opencast-workflow-service-api,org.opencastproject.workflow.api,WorkflowServiceDatabaseImpl,549,0,10,0,110,0,28,0,23,0
Opencast :: transcription-service-google-speech-impl/opencast-workflow-service-api,org.opencastproject.workflow.api,WorkflowOperationInstance.OperationState,45,0,0,0,2,0,1,0,1,0
Opencast :: transcription-service-google-speech-impl/opencast-workflow-service-api,org.opencastproject.workflow.api,WorkflowOperationDefinitionImpl.Adapter,8,0,0,0,3,0,3,0,3,0
Opencast :: transcription-service-google-speech-impl/opencast-workflow-service-api,org.opencastproject.workflow.api,RetryStrategy,21,0,0,0,4,0,1,0,1,0
Opencast :: transcription-service-google-speech-impl/opencast-workflow-service-api,org.opencastproject.workflow.api,JaxbWorkflowOperationInstance.DateAdapter,21,0,4,0,3,0,5,0,3,0
Opencast :: transcription-service-google-speech-impl/opencast-workflow-service-api,org.opencastproject.workflow.api,ConfiguredWorkflow,12,21,0,0,3,6,3,3,3,3
Opencast :: transcription-service-google-speech-impl/opencast-workflow-service-api,org.opencastproject.workflow.api,WorkflowOperationInstance,390,0,40,0,124,0,64,0,44,0
Opencast :: transcription-service-google-speech-impl/opencast-workflow-service-api,org.opencastproject.workflow.api,AbstractWorkflowOperationHandler.Configuration,27,0,0,0,2,0,1,0,1,0
Opencast :: transcription-service-google-speech-impl/opencast-workflow-service-api,org.opencastproject.workflow.api,XmlWorkflowParser,197,0,2,0,51,0,11,0,10,0
Opencast :: transcription-service-google-speech-impl/opencast-workflow-service-api,org.opencastproject.workflow.api,WorkflowStateMappingImpl,33,0,0,0,13,0,7,0,7,0
Opencast :: transcription-service-google-speech-impl/opencast-workflow-service-api,org.opencastproject.workflow.api,WorkflowOperationResultImpl,72,0,4,0,28,0,14,0,12,0
Opencast :: transcription-service-google-speech-impl/opencast-workflow-service-api,org.opencastproject.workflow.api,WorkflowIdentifier,90,0,12,0,17,0,13,0,7,0
Opencast :: transcription-service-google-speech-impl/opencast-workflow-service-api,org.opencastproject.workflow.api,WorkflowListener,2,0,0,0,2,0,2,0,2,0
Opencast :: transcription-service-google-speech-impl/opencast-workflow-service-api,org.opencastproject.workflow.api,WorkflowDefinitionImpl.Adapter,8,0,0,0,3,0,3,0,3,0
Opencast :: transcription-service-google-speech-impl/opencast-workflow-service-api,org.opencastproject.workflow.api,WorkflowStateListener,250,0,18,0,51,0,20,0,11,0
Opencast :: transcription-service-google-speech-impl/opencast-workflow-service-api,org.opencastproject.workflow.api,WorkflowInstance.WorkflowState.Adapter,19,0,4,0,3,0,5,0,3,0
Opencast :: transcription-service-google-speech-impl/opencast-workflow-service-api,org.opencastproject.workflow.api,JaxbWorkflowInstance,309,0,10,0,72,0,12,0,7,0
Opencast :: transcription-service-google-speech-impl/opencast-workflow-service-api,org.opencastproject.workflow.api,WorkflowParsingException,8,0,0,0,4,0,2,0,2,0
Opencast :: transcription-service-google-speech-impl/opencast-workflow-service-api,org.opencastproject.workflow.api,WorkflowOperationDefinitionImpl,206,0,28,0,67,0,37,0,23,0
Opencast :: transcription-service-google-speech-impl/opencast-workflow-service-api,org.opencastproject.workflow.api,WorkflowDefinitionSet,29,0,2,0,11,0,5,0,4,0
Opencast :: transcription-service-google-speech-impl/opencast-workflow-service-api,org.opencastproject.workflow.api,ConfiguredTagsAndFlavors.TargetTags,39,0,0,0,13,0,5,0,5,0
Opencast :: transcription-service-google-speech-impl/opencast-workflow-service-api,org.opencastproject.workflow.api,RetryStrategy.Adapter,19,0,4,0,3,0,5,0,3,0
Opencast :: transcription-service-google-speech-impl/opencast-workflow-service-api,org.opencastproject.workflow.api,WorkflowStateException,7,0,0,0,4,0,2,0,2,0
Opencast :: transcription-service-google-speech-impl/opencast-workflow-service-api,org.opencastproject.workflow.api,WorkflowDefinitionImpl,274,16,46,0,79,5,52,1,29,1
Opencast :: transcription-service-google-speech-impl/opencast-workflow-service-api,org.opencastproject.workflow.api,WorkflowSetImpl,69,0,8,0,20,0,9,0,5,0
Opencast :: transcription-service-google-speech-impl/opencast-workflow-service-api,org.opencastproject.workflow.api,JaxbWorkflowConfiguration,82,0,14,0,29,0,15,0,8,0
Opencast :: transcription-service-google-speech-impl/opencast-workflow-service-api,org.opencastproject.workflow.api,WorkflowIndexData,36,0,0,0,14,0,7,0,7,0
Opencast :: transcription-service-google-speech-impl/opencast-workflow-service-api,org.opencastproject.workflow.api,WorkflowDatabaseException,16,0,0,0,8,0,4,0,4,0
Opencast :: transcription-service-google-speech-impl/opencast-workflow-service-api,org.opencastproject.workflow.api,WorkflowUtil,22,0,8,0,4,0,6,0,2,0
Opencast :: transcription-service-google-speech-impl/opencast-workflow-service-api,org.opencastproject.workflow.api,WorkflowOperationException,13,0,0,0,6,0,3,0,3,0
Opencast :: transcription-service-google-speech-impl/opencast-workflow-service-api,org.opencastproject.workflow.api,WorkflowStateMappingImpl.Adapter,8,0,0,0,3,0,3,0,3,0
Opencast :: transcription-service-google-speech-impl/opencast-workflow-service-api,org.opencastproject.workflow.api,YamlWorkflowConfigurationSerializer,15,0,0,0,6,0,3,0,3,0
Opencast :: transcription-service-google-speech-impl/opencast-workflow-service-api,org.opencastproject.workflow.api,YamlWorkflowConfigurationDeserializer,37,0,2,0,10,0,4,0,3,0
Opencast :: transcription-service-google-speech-impl/opencast-workflow-service-api,org.opencastproject.workflow.api,ConfiguredTagsAndFlavors,203,0,16,0,47,0,23,0,15,0
Opencast :: transcription-service-google-speech-impl/opencast-workflow-service-api,org.opencastproject.workflow.api,WorkflowOperationAbortedException,4,0,0,0,2,0,1,0,1,0
Opencast :: transcription-service-google-speech-impl/opencast-workflow-service-api,org.opencastproject.workflow.api,YamlWorkflowParser,144,0,0,0,34,0,9,0,9,0
Opencast :: transcription-service-google-speech-impl/opencast-workflow-service-api,org.opencastproject.workflow.api,WorkflowException,16,0,0,0,8,0,4,0,4,0
Opencast :: transcription-service-google-speech-impl/opencast-workflow-service-api,org.opencastproject.workflow.api,WorkflowInstance,508,16,64,0,137,6,67,3,35,3
Opencast :: transcription-service-google-speech-impl/opencast-workflow-service-api,org.opencastproject.workflow.api,WorkflowSetImpl.Adapter,8,0,0,0,3,0,3,0,3,0
Opencast :: transcription-service-google-speech-impl/opencast-workflow-service-api,org.opencastproject.workflow.api,WorkflowInstance.WorkflowState,52,0,2,0,5,0,3,0,2,0
Opencast :: transcription-service-google-speech-impl/opencast-workflow-service-api,org.opencastproject.workflow.api,JaxbWorkflowOperationInstance,320,0,8,0,76,0,10,0,6,0
Opencast :: transcription-service-google-speech-impl/opencast-workflow-service-api,org.opencastproject.workflow.api,AbstractWorkflowOperationHandler,857,0,99,0,202,0,91,0,34,0
