GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Opencast :: workflow-service-impl/opencast-kernel,org.opencastproject.kernel.security,DelegatingAuthenticationEntryPoint,95,0,16,0,22,0,13,0,5,0
Opencast :: workflow-service-impl/opencast-kernel,org.opencastproject.kernel.security,Lti11AuthenticationFilter,146,0,8,0,39,0,10,0,6,0
Opencast :: workflow-service-impl/opencast-kernel,org.opencastproject.kernel.security,AsyncTimeoutRedirectFilter,87,0,8,0,26,0,7,0,3,0
Opencast :: workflow-service-impl/opencast-kernel,org.opencastproject.kernel.security,SystemTokenBasedRememberMeService,41,0,0,0,10,0,2,0,2,0
Opencast :: workflow-service-impl/opencast-kernel,org.opencastproject.kernel.security,OrganizationFilter,129,0,6,0,37,0,10,0,7,0
Opencast :: workflow-service-impl/opencast-kernel,org.opencastproject.kernel.security,TrustedHttpClientImpl.HostCache,5,99,0,2,2,28,0,5,0,4
Opencast :: workflow-service-impl/opencast-kernel,org.opencastproject.kernel.security,TrustedHttpClientImpl,216,689,21,61,55,166,22,46,3,24
Opencast :: workflow-service-impl/opencast-kernel,org.opencastproject.kernel.security,LogoutSuccessHandler,33,0,2,0,10,0,5,0,4,0
Opencast :: workflow-service-impl/opencast-kernel,org.opencastproject.kernel.security,SecurityFilter,99,0,8,0,32,0,12,0,8,0
Opencast :: workflow-service-impl/opencast-kernel,org.opencastproject.kernel.security,OrganizationDirectoryServiceImpl.OrgCache,110,35,6,0,21,10,7,2,4,2
Opencast :: workflow-service-impl/opencast-kernel,org.opencastproject.kernel.security,OrganizationEndpoint,48,0,2,0,14,0,7,0,6,0
Opencast :: workflow-service-impl/opencast-kernel,org.opencastproject.kernel.security,OAuthConsumerDetailsService,81,0,8,0,20,0,8,0,4,0
Opencast :: workflow-service-impl/opencast-kernel,org.opencastproject.kernel.security,OrganizationDirectoryServiceImpl,196,241,18,14,56,59,22,13,11,8
Opencast :: workflow-service-impl/opencast-kernel,org.opencastproject.kernel.security,SecurityServiceSpringImpl,169,0,22,0,51,0,21,0,10,0
Opencast :: workflow-service-impl/opencast-kernel,org.opencastproject.kernel.security,SystemTokenRememberMeUtils,103,0,6,0,26,0,5,0,2,0
Opencast :: workflow-service-impl/opencast-kernel,org.opencastproject.kernel.security,AuthenticationSuccessHandler,95,0,12,0,27,0,10,0,4,0
Opencast :: workflow-service-impl/opencast-kernel,org.opencastproject.kernel.security,CustomPasswordEncoder,55,0,6,0,12,0,6,0,3,0
Opencast :: workflow-service-impl/opencast-kernel,org.opencastproject.kernel.security,AsyncTimeoutRedirectFilter.DefaultThrowableAnalyzer.new ThrowableCauseExtractor() {...},10,0,0,0,3,0,2,0,2,0
Opencast :: workflow-service-impl/opencast-kernel,org.opencastproject.kernel.security,SystemTokenBasedRememberMeAuthenticationProvider,5,0,0,0,2,0,1,0,1,0
Opencast :: workflow-service-impl/opencast-kernel,org.opencastproject.kernel.security,RedirectQueryParamAuthenticationEntryPoint,35,0,2,0,9,0,3,0,2,0
Opencast :: workflow-service-impl/opencast-kernel,org.opencastproject.kernel.security,UserEntryPoint,70,0,2,0,17,0,8,0,7,0
Opencast :: workflow-service-impl/opencast-kernel,org.opencastproject.kernel.security,AsyncTimeoutRedirectFilter.DefaultThrowableAnalyzer,10,0,0,0,3,0,1,0,1,0
Opencast :: workflow-service-impl/opencast-kernel,org.opencastproject.kernel.security,TrustedAnonymousAuthenticationFilter,23,0,2,0,7,0,3,0,2,0
Opencast :: workflow-service-impl/opencast-kernel,org.opencastproject.kernel.scanner,AbstractScanner.TypedQuartzJob,60,0,2,0,17,0,5,0,4,0
Opencast :: workflow-service-impl/opencast-kernel,org.opencastproject.kernel.scanner,AbstractScanner,53,177,1,9,17,56,10,17,9,13
Opencast :: workflow-service-impl/opencast-kernel,org.opencastproject.kernel.scanner,AbstractBufferScanner,97,0,8,0,26,0,9,0,5,0
Opencast :: workflow-service-impl/opencast-kernel,org.opencastproject.kernel.filter.https,HttpsFilter,46,0,4,0,13,0,7,0,5,0
Opencast :: workflow-service-impl/opencast-kernel,org.opencastproject.kernel.filter.https,HttpsRequestWrapper,27,0,0,0,8,0,4,0,4,0
Opencast :: workflow-service-impl/opencast-kernel,org.opencastproject.kernel.filter.proxy,TransparentProxyRequestWrapper,15,0,0,0,5,0,3,0,3,0
Opencast :: workflow-service-impl/opencast-kernel,org.opencastproject.kernel.filter.proxy,TransparentProxyFilter,30,0,2,0,10,0,6,0,5,0
Opencast :: workflow-service-impl/opencast-kernel,org.opencastproject.kernel.rest,RestPublisher.JaxRsServiceTracker,82,0,4,0,18,0,5,0,3,0
Opencast :: workflow-service-impl/opencast-kernel,org.opencastproject.kernel.rest,JsonpFilter.HttpServletResponseContentWrapper,226,0,30,0,54,0,29,0,14,0
Opencast :: workflow-service-impl/opencast-kernel,org.opencastproject.kernel.rest,RestPublisher.OpencastJSONProvider.new MappedXMLStreamWriter() {...},19,0,0,0,7,0,5,0,5,0
Opencast :: workflow-service-impl/opencast-kernel,org.opencastproject.kernel.rest,RestPublisher.StaticResourceBundleTracker,148,0,12,0,30,0,9,0,3,0
Opencast :: workflow-service-impl/opencast-kernel,org.opencastproject.kernel.rest,CurrentJobFilter,72,0,2,0,24,0,8,0,7,0
Opencast :: workflow-service-impl/opencast-kernel,org.opencastproject.kernel.rest,RestPublisher.new ExceptionMapper() {...},11,0,0,0,6,0,2,0,2,0
Opencast :: workflow-service-impl/opencast-kernel,org.opencastproject.kernel.rest,RestPublisher.new ExceptionMapper() {...},11,0,0,0,6,0,2,0,2,0
Opencast :: workflow-service-impl/opencast-kernel,org.opencastproject.kernel.rest,JsonpFilter.ByteArrayServletOutputStream,72,0,4,0,21,0,11,0,9,0
Opencast :: workflow-service-impl/opencast-kernel,org.opencastproject.kernel.rest,RestPublisher.StaticResourceClassLoader,33,0,0,0,7,0,2,0,2,0
Opencast :: workflow-service-impl/opencast-kernel,org.opencastproject.kernel.rest,RestPublisher,359,0,10,0,100,0,16,0,11,0
Opencast :: workflow-service-impl/opencast-kernel,org.opencastproject.kernel.rest,RestPublisher.OpencastJSONProvider,30,0,0,0,6,0,3,0,3,0
Opencast :: workflow-service-impl/opencast-kernel,org.opencastproject.kernel.rest,CleanSessionsFilter,73,0,14,0,21,0,12,0,5,0
Opencast :: workflow-service-impl/opencast-kernel,org.opencastproject.kernel.rest,JsonpFilter,54,7,6,0,16,2,7,1,4,1
Opencast :: workflow-service-impl/opencast-kernel,org.opencastproject.kernel.rest,RestPublisher.RestServlet,26,0,2,0,10,0,4,0,3,0
Opencast :: workflow-service-impl/opencast-kernel,org.opencastproject.kernel.http,SharedHttpContext,60,0,4,0,18,0,9,0,7,0
Opencast :: workflow-service-impl/opencast-kernel,org.opencastproject.kernel.mail,BaseSmtpService.Mode,15,0,0,0,2,0,1,0,1,0
Opencast :: workflow-service-impl/opencast-kernel,org.opencastproject.kernel.mail,BaseSmtpService,369,0,24,0,90,0,29,0,17,0
Opencast :: workflow-service-impl/opencast-kernel,org.opencastproject.kernel.mail,EmailAddress,60,0,10,0,8,0,10,0,5,0
Opencast :: workflow-service-impl/opencast-kernel,org.opencastproject.kernel.mail,SmtpService,395,0,44,0,100,0,33,0,11,0
Opencast :: workflow-service-impl/opencast-kernel,org.opencastproject.kernel.security.persistence,OrganizationDatabaseImpl,112,179,4,2,25,41,3,16,0,16
Opencast :: workflow-service-impl/opencast-kernel,org.opencastproject.kernel.security.persistence,OrganizationDatabaseException,4,0,0,0,2,0,1,0,1,0
Opencast :: workflow-service-impl/opencast-kernel,org.opencastproject.kernel.bundleinfo,BundleInfoImpl,0,66,0,0,0,17,0,9,0,9
Opencast :: workflow-service-impl/opencast-kernel,org.opencastproject.kernel.bundleinfo,BundleInfoJpa,0,168,0,2,0,29,0,11,0,10
Opencast :: workflow-service-impl/opencast-kernel,org.opencastproject.kernel.bundleinfo,AbstractBundleInfoDb,0,63,0,0,0,18,0,8,0,8
Opencast :: workflow-service-impl/opencast-kernel,org.opencastproject.kernel.bundleinfo,BundleVersion,2,58,5,5,0,9,5,6,0,6
Opencast :: workflow-service-impl/opencast-kernel,org.opencastproject.kernel.bundleinfo,BundleInfoDbException,9,4,0,0,4,2,2,1,2,1
Opencast :: workflow-service-impl/opencast-kernel,org.opencastproject.kernel.bundleinfo,BundleInfoLogger,158,0,13,0,33,0,15,0,8,0
Opencast :: workflow-service-impl/opencast-kernel,org.opencastproject.kernel.bundleinfo,OsgiBundleInfoRestEndpoint,10,0,0,0,4,0,3,0,3,0
Opencast :: workflow-service-impl/opencast-kernel,org.opencastproject.kernel.bundleinfo,BundleInfos,7,0,0,0,1,0,1,0,1,0
Opencast :: workflow-service-impl/opencast-kernel,org.opencastproject.kernel.bundleinfo,BundleInfoRestEndpoint,36,251,5,12,10,41,5,19,2,13
Opencast :: workflow-service-impl/opencast-kernel,org.opencastproject.kernel.bundleinfo,OsgiBundleInfoDb,33,0,0,0,12,0,7,0,7,0
Opencast :: workflow-service-impl/opencast-elasticsearch-index,org.opencastproject.elasticsearch.index.objects.series,Series.new MappedXMLStreamWriter() {...},8,11,0,0,4,3,3,2,3,2
Opencast :: workflow-service-impl/opencast-elasticsearch-index,org.opencastproject.elasticsearch.index.objects.series,SeriesIndexUtils,323,0,42,0,69,0,26,0,5,0
Opencast :: workflow-service-impl/opencast-elasticsearch-index,org.opencastproject.elasticsearch.index.objects.series,SeriesQueryBuilder,380,0,68,0,65,0,37,0,3,0
Opencast :: workflow-service-impl/opencast-elasticsearch-index,org.opencastproject.elasticsearch.index.objects.series,SeriesSearchQuery,720,147,56,2,159,41,97,4,68,4
Opencast :: workflow-service-impl/opencast-elasticsearch-index,org.opencastproject.elasticsearch.index.objects.series,Series,346,161,25,3,86,57,45,16,32,15
Opencast :: workflow-service-impl/opencast-elasticsearch-index,org.opencastproject.elasticsearch.index.objects.event,Comment.new MappedXMLStreamWriter() {...},19,0,0,0,7,0,5,0,5,0
Opencast :: workflow-service-impl/opencast-elasticsearch-index,org.opencastproject.elasticsearch.index.objects.event,EventQueryBuilder,774,0,122,0,118,0,64,0,3,0
Opencast :: workflow-service-impl/opencast-elasticsearch-index,org.opencastproject.elasticsearch.index.objects.event,EventIndexUtils.new HashMap() {...},34,0,0,0,6,0,1,0,1,0
Opencast :: workflow-service-impl/opencast-elasticsearch-index,org.opencastproject.elasticsearch.index.objects.event,Event,649,421,43,19,151,122,98,25,72,20
Opencast :: workflow-service-impl/opencast-elasticsearch-index,org.opencastproject.elasticsearch.index.objects.event,EventIndexUtils,1255,69,135,5,258,14,81,4,13,2
Opencast :: workflow-service-impl/opencast-elasticsearch-index,org.opencastproject.elasticsearch.index.objects.event,EventSearchQuery,829,215,23,1,198,62,131,3,119,3
Opencast :: workflow-service-impl/opencast-elasticsearch-index,org.opencastproject.elasticsearch.index.objects.event,Event.new MappedXMLStreamWriter() {...},8,11,0,0,4,3,3,2,3,2
Opencast :: workflow-service-impl/opencast-elasticsearch-index,org.opencastproject.elasticsearch.index.objects.event,Comment,288,0,20,0,78,0,27,0,17,0
Opencast :: workflow-service-impl/opencast-elasticsearch-index,org.opencastproject.elasticsearch.index.endpoint,IndexEndpoint,366,0,12,0,90,0,27,0,21,0
Opencast :: workflow-service-impl/opencast-elasticsearch-index,org.opencastproject.elasticsearch.index,ElasticsearchIndex,663,19,26,0,148,2,37,1,24,1
Opencast :: workflow-service-impl/opencast-elasticsearch-index,org.opencastproject.elasticsearch.index.rebuild,IndexProducer,21,0,2,0,2,0,4,0,3,0
Opencast :: workflow-service-impl/opencast-elasticsearch-index,org.opencastproject.elasticsearch.index.rebuild,IndexRebuildService.Service,39,0,0,0,2,0,1,0,1,0
Opencast :: workflow-service-impl/opencast-elasticsearch-index,org.opencastproject.elasticsearch.index.rebuild,IndexRebuildService.IndexProducerListener,43,0,4,0,10,0,4,0,2,0
Opencast :: workflow-service-impl/opencast-elasticsearch-index,org.opencastproject.elasticsearch.index.rebuild,IndexRebuildException,40,0,0,0,9,0,4,0,4,0
Opencast :: workflow-service-impl/opencast-elasticsearch-index,org.opencastproject.elasticsearch.index.rebuild,IndexRebuildService,360,0,30,0,80,0,32,0,17,0
Opencast :: workflow-service-impl/opencast-elasticsearch-index,org.opencastproject.elasticsearch.index.rebuild,IndexRebuildService.DataType,15,0,0,0,2,0,1,0,1,0
Opencast :: workflow-service-impl/opencast-elasticsearch-index,org.opencastproject.elasticsearch.index.rebuild,AbstractIndexProducer,252,3,14,0,32,1,18,1,11,1
Opencast :: workflow-service-impl/opencast-elasticsearch-index,org.opencastproject.elasticsearch.index.rebuild,IndexRebuildService.State,27,0,0,0,2,0,1,0,1,0
Opencast :: workflow-service-impl/opencast-elasticsearch-api,org.opencastproject.elasticsearch.api,SearchTerms.Quantifier,15,0,0,0,2,0,1,0,1,0
Opencast :: workflow-service-impl/opencast-elasticsearch-api,org.opencastproject.elasticsearch.api,SearchIndexException,13,0,0,0,6,0,3,0,3,0
